iter	Passed	Remaining
0	146	72961
1	149	37156
2	151	25144
3	154	19169
4	158	15669
5	161	13262
6	163	11501
7	165	10167
8	166	9080
9	166	8172
10	167	7461
11	169	6876
12	171	6436
13	174	6043
14	175	5679
15	178	5387
16	181	5155
17	184	4941
18	187	4739
19	190	4567
20	192	4401
21	195	4251
22	198	4124
23	201	4004
24	204	3892
25	207	3782
26	210	3685
27	213	3591
28	215	3492
29	218	3417
30	220	3343
31	223	3269
32	225	3191
33	228	3127
34	230	3067
35	233	3013
36	235	2949
37	238	2897
38	240	2845
39	243	2802
40	245	2752
41	248	2713
42	251	2672
43	253	2630
44	256	2592
45	257	2539
46	259	2497
47	261	2461
48	263	2429
49	267	2404
50	269	2371
51	272	2344
52	274	2317
53	277	2291
54	280	2267
55	282	2240
56	285	2220
57	288	2198
58	291	2175
59	293	2153
60	296	2131
61	299	2113
62	302	2095
63	304	2074
64	307	2057
65	309	2037
66	312	2016
67	314	1996
68	317	1983
69	319	1961
70	322	1947
71	324	1931
72	326	1909
73	328	1890
74	329	1866
75	330	1843
76	332	1825
77	335	1812
78	337	1797
79	339	1781
80	341	1766
81	344	1757
82	347	1745
83	350	1733
84	353	1723
85	355	1713
86	358	1703
87	361	1692
88	364	1683
89	367	1675
90	370	1665
91	373	1657
92	375	1643
93	379	1637
94	382	1632
95	386	1624
96	388	1612
97	391	1607
98	394	1598
99	397	1591
100	401	1585
101	405	1580
102	407	1572
103	411	1565
104	414	1558
105	417	1552
106	420	1543
107	423	1538
108	426	1530
109	429	1521
110	431	1513
111	433	1502
112	437	1499
113	441	1494
114	444	1487
115	447	1479
116	450	1473
117	453	1466
118	454	1456
119	456	1446
120	458	1434
121	459	1423
122	460	1411
123	462	1401
124	463	1391
125	465	1383
126	467	1373
127	469	1363
128	471	1355
129	474	1349
130	477	1345
131	479	1336
132	482	1331
133	484	1322
134	486	1314
135	488	1307
136	491	1301
137	494	1297
138	497	1290
139	499	1284
140	501	1277
141	504	1272
142	507	1268
143	510	1261
144	513	1256
145	515	1249
146	516	1239
147	517	1230
148	518	1222
149	520	1213
150	521	1205
151	524	1200
152	526	1194
153	528	1186
154	530	1181
155	532	1173
156	535	1169
157	538	1164
158	540	1159
159	543	1154
160	546	1150
161	550	1148
162	554	1145
163	557	1141
164	561	1139
165	565	1137
166	568	1132
167	570	1127
168	573	1122
169	575	1118
170	578	1113
171	582	1109
172	585	1105
173	588	1102
174	590	1096
175	593	1092
176	595	1086
177	597	1080
178	598	1072
179	599	1066
180	601	1060
181	604	1055
182	605	1049
183	607	1042
184	608	1036
185	609	1028
186	611	1022
187	613	1018
188	617	1015
189	620	1011
190	622	1007
191	625	1003
192	628	1000
193	632	997
194	635	993
195	636	987
196	639	983
197	642	980
198	644	974
199	645	967
200	648	964
201	651	960
202	654	956
203	656	953
204	659	948
205	661	943
206	662	937
207	663	931
208	665	926
209	666	920
210	667	914
211	668	908
212	670	903
213	672	899
214	675	895
215	678	892
216	681	888
217	682	883
218	683	877
219	687	874
220	690	871
221	691	865
222	692	860
223	693	854
224	695	849
225	696	844
226	697	838
227	699	834
228	701	830
229	704	826
230	705	821
231	707	816
232	708	812
233	710	807
234	711	802
235	712	797
236	714	793
237	716	789
238	719	785
239	721	781
240	724	778
241	726	774
242	729	771
243	731	767
244	734	764
